# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 11.1 Build 173 11/01/2011 SJ Full Version
# File: C:\Demo\DE0_NANO_ADC\DE0_NANO.csv
# Generated on: Sun Sep 16 19:39:35 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
GPIO_2[1],Bidir,PIN_B16,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2[0],Bidir,PIN_A14,7,B7_N0,3.3-V LVTTL,,,,
GPIO_2_IN[2],Input,PIN_M16,5,B5_N0,3.3-V LVTTL,,,,
GPIO_2_IN[1],Input,PIN_E16,6,B6_N0,3.3-V LVTTL,,,,
GPIO_2_IN[0],Input,PIN_E15,6,B6_N0,3.3-V LVTTL,,,,
G_SENSOR_CS_N,Output,PIN_G5,1,B1_N0,3.3-V LVTTL,,,,
G_SENSOR_INT,Input,PIN_M2,2,B2_N0,3.3-V LVTTL,,,,
I2C_SCLK,Output,PIN_F2,1,B1_N0,3.3-V LVTTL,,,,
I2C_SDAT,Bidir,PIN_F1,1,B1_N0,3.3-V LVTTL,,,,
KEY[1],Input,PIN_E1,1,B1_N0,3.3-V LVTTL,,,,
KEY[0],Input,PIN_J15,5,B5_N0,3.3-V LVTTL,,,,
LED[7],Output,PIN_L3,2,B2_N0,3.3-V LVTTL,,,,
LED[6],Output,PIN_B1,1,B1_N0,3.3-V LVTTL,,,,
LED[5],Output,PIN_F3,1,B1_N0,3.3-V LVTTL,,,,
LED[4],Output,PIN_D1,1,B1_N0,3.3-V LVTTL,,,,
LED[3],Output,PIN_A11,7,B7_N0,3.3-V LVTTL,,,,
LED[2],Output,PIN_B13,7,B7_N0,3.3-V LVTTL,,,,
LED[1],Output,PIN_A13,7,B7_N0,3.3-V LVTTL,,,,
LED[0],Output,PIN_A15,7,B7_N0,3.3-V LVTTL,,,,
SW[3],Input,PIN_M15,5,B5_N0,3.3-V LVTTL,,,,
SW[2],Input,PIN_B9,7,B7_N0,3.3-V LVTTL,,,,
SW[1],Input,PIN_T8,3,B3_N0,3.3-V LVTTL,,,,
SW[0],Input,PIN_M1,2,B2_N0,3.3-V LVTTL,,,,
altera_reserved_tck,Input,,,,,,,,
altera_reserved_tdi,Input,,,,,,,,
altera_reserved_tdo,Output,,,,,,,,
altera_reserved_tms,Input,,,,,,,,
